   ตอบในมุมมองของคนที่ใช้คำๆนี้ ในบทสนทนา ถ้าเห็นเขาใช้ คำๆนี้แล้วคิดว่า เขามีความสัมพันธ์อย่างไรกับ คนที่เขากำลังพูดด้วย,,,,,,,
คำ (Word),สนิทกันมาก (Intimate),สนิทกัน (Close),แค่คนรู้จักกัน (acquainted),ไม่รู้จักกัน (Unfamiliar),ไม่ชอบหน้ากัน  (Dislike),"บอกไม่ได้ 
(Cannot describe)",
โรงหนัง,,,,,,//,เสร็จสิ้น
โคตร,//,,,,,,เสร็จสิ้น
คร้าบ,//,,,,,,เสร็จสิ้น
ขอบใจ,,//,,,,,เสร็จสิ้น
อะดิ,,//,,,,,เสร็จสิ้น
โง่,,,,,//,,เสร็จสิ้น
เห้,//,,,,,,เสร็จสิ้น
แร้ว,//,,,,,,เสร็จสิ้น
เกาเหลา,,,,,,//,เสร็จสิ้น
คางทูม,,,,,,//,เสร็จสิ้น
เสมอ,,,,,,//,เสร็จสิ้น
สัส,,,,,//,,เสร็จสิ้น
แพร่,,,,,,//,เสร็จสิ้น
อ่า,,,//,,,,เสร็จสิ้น
ก่ะ,,//,,,,,เสร็จสิ้น
ซัพ,,//,,,,,เสร็จสิ้น
กรี๊ด,,//,,,,,เสร็จสิ้น
ต่ำ,,,,,//,,เสร็จสิ้น
สลิ่ม,,,,,//,,เสร็จสิ้น
ไป,,,,,,//,เสร็จสิ้น
ร็อค,,,,,,//,เสร็จสิ้น
ท้องฟ้า,,,,,,//,เสร็จสิ้น
ผักกาด,,,,,,//,เสร็จสิ้น
จริงๆ,,//,,,,,เสร็จสิ้น
เครื่องเคียง,,,,,,//,เสร็จสิ้น
เน้อ,//,,,,,,เสร็จสิ้น
ตอแหล,,,,,//,,เสร็จสิ้น
กระติก,,,,,,//,เสร็จสิ้น
จัง,,//,,,,,เสร็จสิ้น
เกียด,,,,,//,,เสร็จสิ้น
ขี้,,,,,,//,เสร็จสิ้น
ศาลา,,,,,,//,เสร็จสิ้น
กก,,,,,,//,เสร็จสิ้น
เชียงใหม่,,,,,,//,เสร็จสิ้น
รปห,,,,,,//,เสร็จสิ้น
ชั้น,,,,,,//,เสร็จสิ้น
ล่อ,,,,,,//,เสร็จสิ้น
sooo,//,,,,,,เสร็จสิ้น
แฮมสเตอร์,,,,,,//,เสร็จสิ้น
ขยะ,,,,,,//,เสร็จสิ้น
ลบ,,,,,,//,เสร็จสิ้น
โชคดี,,//,,,,,เสร็จสิ้น
เสร็จ,,//,,,,,เสร็จสิ้น
แอน,,,,,,//,เสร็จสิ้น
นุ้น,//,,,,,,เสร็จสิ้น
นู๋,//,,,,,,เสร็จสิ้น
ตัง,,,//,,,,เสร็จสิ้น
รุ่ง,,,,,,//,เสร็จสิ้น
จิ๋ม,//,,,,,,เสร็จสิ้น
อัน,,,//,,,,เสร็จสิ้น
เป็นไง,,//,,,,,เสร็จสิ้น
ท่าน,,,//,,,,เสร็จสิ้น
สมรู้ร่วมคิด,,,,//,,,เสร็จสิ้น
ไว้,,,,,,//,เสร็จสิ้น
จิง,//,,,,,,เสร็จสิ้น
ขี่,,,,,,//,เสร็จสิ้น
เนี้ยยย,//,,,,,,เสร็จสิ้น
มาม่า,,,,,,//,เสร็จสิ้น
รึ,//,,,,,,เสร็จสิ้น
แจ็ค,,,,,,//,เสร็จสิ้น
หยก,,,,,,//,เสร็จสิ้น
ลพบุรี,,,,,,//,เสร็จสิ้น
เห้ย,//,,,,,,เสร็จสิ้น
เครียด,//,,,,,,เสร็จสิ้น
หว่า,,,,,,//,เสร็จสิ้น
คลับ,,,,,,//,เสร็จสิ้น
บ๊ะ,,,,,,//,เสร็จสิ้น
ถีบ,,,,,//,,เสร็จสิ้น
เชลซี,,,,,,//,เสร็จสิ้น
โม,,,,,,//,เสร็จสิ้น
จิน,,,,,,//,เสร็จสิ้น
อาบน้ำ,,,,,,//,เสร็จสิ้น
เซ็นสัญญา,,,,,,//,เสร็จสิ้น
โห้ว,,,,,,//,เสร็จสิ้น
ทาน,,,,//,,,เสร็จสิ้น
เนี้ยะ,,//,,,,,เสร็จสิ้น
เปลือง,,,,,//,,เสร็จสิ้น
หน.,,,,,,//,เสร็จสิ้น
กิโล,,,,,,//,เสร็จสิ้น
ตั๋ว,,//,,,,,เสร็จสิ้น
ท่อม,//,,,,,,เสร็จสิ้น
ฮา,//,,,,,,เสร็จสิ้น
เค,//,,,,,,เสร็จสิ้น
หาดใหญ่,,,,,,//,เสร็จสิ้น
ตัว,,,,,,//,เสร็จสิ้น
หมื่น,,,,,,//,เสร็จสิ้น
สมุด,,,,,,//,เสร็จสิ้น
แหละ,,//,,,,,เสร็จสิ้น
หมอ,,,,//,,,เสร็จสิ้น
ออกรถ,,,,,,//,เสร็จสิ้น
ใส่ใจ,//,,,,,,เสร็จสิ้น
ทอด,,,,,,//,เสร็จสิ้น
เท้า,,,,//,,,เสร็จสิ้น
โอ้ว,,//,,,,,เสร็จสิ้น
พี่,,//,,,,,เสร็จสิ้น
หวาย,,,,,,//,เสร็จสิ้น
อื้ม,,,,,,//,เสร็จสิ้น
หัวจุก,,,,,,//,เสร็จสิ้น
หื้ม,,//,,,,,เสร็จสิ้น
ผู้,,,,,,//,เสร็จสิ้น
ฟิล์ม,,,,,,//,เสร็จสิ้น
พี่น้อง,,//,,,,,เสร็จสิ้น
เคย,,//,,,,,เสร็จสิ้น
ไส้,,,,,,//,เสร็จสิ้น
คัน,,,//,,,,เสร็จสิ้น
สาด,,,,,,//,เสร็จสิ้น
โถ,,,,,,//,เสร็จสิ้น
อี้,,,,,,//,เสร็จสิ้น
ซะ,,,,,//,,เสร็จสิ้น
เท่,//,,,,,,เสร็จสิ้น
อ้อ,,//,,,,,เสร็จสิ้น
มั่ง,,//,,,,,เสร็จสิ้น
ซัน,,,,,,//,เสร็จสิ้น
หิว,,,,,,//,เสร็จสิ้น
บริจาค,,,,//,,,เสร็จสิ้น
รพ.,,//,,,,,เสร็จสิ้น
ว๊าก,//,,,,,,เสร็จสิ้น
อ่าง,,,,,,//,เสร็จสิ้น
พระเอก,,,,,,//,เสร็จสิ้น
ม่ะ,,//,,,,,เสร็จสิ้น
ปวดหัว,,,,,,//,เสร็จสิ้น
วิ่ง,,,,,,//,เสร็จสิ้น
เรียล,,,,,,//,เสร็จสิ้น
ไอ้,,,,,//,,เสร็จสิ้น
อ๋อง,,,,,,//,เสร็จสิ้น
เจงๆ,//,,,,,,เสร็จสิ้น
หิมะ,,,,,,//,เสร็จสิ้น
วาล,,,,,,//,เสร็จสิ้น
หา,,,,,,//,เสร็จสิ้น
ตรงข้าม,,,,,,//,เสร็จสิ้น
กะตัง,,,,,,//,เสร็จสิ้น
จ่ายตลาด,,,,,,//,เสร็จสิ้น
เจ,,,,,,//,เสร็จสิ้น
โอ้ย,,,,,//,,เสร็จสิ้น
ถูก,,,,,,//,เสร็จสิ้น
เก้า,,,,,,//,เสร็จสิ้น
ล่า,,,,,//,,เสร็จสิ้น
โด้ย,//,,,,,,เสร็จสิ้น
งี๊,//,,,,,,เสร็จสิ้น
ขึ้น,,,,,//,,เสร็จสิ้น
ต่าง,,,//,,,,เสร็จสิ้น
บลาๆๆ,//,,,,,,เสร็จสิ้น
วุ้ย,,,,,//,,เสร็จสิ้น
เอ้า,//,,,,,,เสร็จสิ้น
กางเกงใน,//,,,,,,เสร็จสิ้น
บาง,,,,,,//,เสร็จสิ้น
มั้ย,,//,,,,,เสร็จสิ้น
ดิก,,,,,,//,เสร็จสิ้น
ตั้งแต่,,,//,,,,เสร็จสิ้น
นู้น,,//,,,,,เสร็จสิ้น
ไมเกรน,,//,,,,,เสร็จสิ้น
คัม,//,,,,,,เสร็จสิ้น
สังเกต,,,,,,//,เสร็จสิ้น
ฝนตก,,//,,,,,เสร็จสิ้น
หรือ,,//,,,,,เสร็จสิ้น
ฝ่า,,,,//,,,เสร็จสิ้น
หาบ,,,,,,//,เสร็จสิ้น
ภูเขา,,,,,,//,เสร็จสิ้น
ห่อหมก,,//,,,,,เสร็จสิ้น
ชลบุรี,,,,,,//,เสร็จสิ้น
หนึ่ง,,,,,,//,เสร็จสิ้น
เสือ,,,,,,//,เสร็จสิ้น
คนอื่น,,,//,,,,เสร็จสิ้น
แมนเชสเตอร์,,,,,,//,เสร็จสิ้น
อุตุ,,,,,,//,เสร็จสิ้น
เหอะ,,,,,//,,เสร็จสิ้น
ม่าย,//,,,,,,เสร็จสิ้น
เกี่ยว,,,,,,//,เสร็จสิ้น
พิม,,,,,,//,เสร็จสิ้น
ดูก่อน,//,,,,,,เสร็จสิ้น
ถั่วเขียว,,,,,,//,เสร็จสิ้น
อุ้ย,,,,,,//,เสร็จสิ้น
พังงา,,,,,,//,เสร็จสิ้น
พีท,//,,,,,,เสร็จสิ้น
ซัพพอร์ต,,,,,,//,เสร็จสิ้น
ลานีญา,,,,,,//,เสร็จสิ้น
ควาย,,,,,,//,เสร็จสิ้น
ซักผ้า,,,,,,//,เสร็จสิ้น
หนัง,,,,,,//,เสร็จสิ้น
ชิบหาย,,,,,,//,เสร็จสิ้น
ตุ๊,,,,,,//,เสร็จสิ้น
ติดโรค,,,,,,//,เสร็จสิ้น
เส้น,,,,,,//,เสร็จสิ้น
เจี๊ยบ,//,,,,,,เสร็จสิ้น
นุง,//,,,,,,เสร็จสิ้น
ไร้,,,,,,//,เสร็จสิ้น
ตีน,,,,,//,,เสร็จสิ้น
ลัฟวี่,,,,,,//,เสร็จสิ้น
นู่น,,//,,,,,เสร็จสิ้น
รู้,,,,,,//,เสร็จสิ้น
คร่า,//,,,,,,เสร็จสิ้น
เข้า,,,,,,//,เสร็จสิ้น
โพด,,,,,,//,เสร็จสิ้น
พัง,,,,,,//,เสร็จสิ้น
เลา,//,,,,,,เสร็จสิ้น
เริ่ด,//,,,,,,เสร็จสิ้น
อ่ะ,,//,,,,,เสร็จสิ้น
สวัสดี,,,,//,,,เสร็จสิ้น
ปุ๋ย,,,,,,//,เสร็จสิ้น
เบตง,,,,,,//,เสร็จสิ้น
หนาว,,,,,,//,เสร็จสิ้น
ฮือ,//,,,,,,เสร็จสิ้น
ปลอดภัย,,,,,//,,เสร็จสิ้น
เป็นไร,//,,,,,,เสร็จสิ้น
เหี้ย,,,,,//,,เสร็จสิ้น
เอ๊ะ,,,,,,//,เสร็จสิ้น
น้ำตก,,,,,,//,เสร็จสิ้น
